full,ion,length,charge,neutral_loss,index
c24^2,c,24,2,,533
c24^3,c,24,3,,534
c25,c,25,1,,535
c25^2,c,25,2,,536
c25^3,c,25,3,,537
c26,c,26,1,,538
c26^2,c,26,2,,539
c26^3,c,26,3,,540
c27,c,27,1,,541
c27^2,c,27,2,,542
c27^3,c,27,3,,543
c28^2,c,28,2,,544
c28^3,c,28,3,,545
c29^2,c,29,2,,546
c29^3,c,29,3,,547
c2^2,c,2,2,,548
c3,c,3,1,,549
c3^2,c,3,2,,550
c3^3,c,3,3,,551
c4,c,4,1,,552
c4^2,c,4,2,,553
c4^3,c,4,3,,554
c5,c,5,1,,555
c5^2,c,5,2,,556
c5^3,c,5,3,,557
c6,c,6,1,,558
c6^2,c,6,2,,559
c6^3,c,6,3,,560
c7,c,7,1,,561
c7^2,c,7,2,,562
c7^3,c,7,3,,563
c8,c,8,1,,564
c8^2,c,8,2,,565
c8^3,c,8,3,,566
c9,c,9,1,,567
c9^2,c,9,2,,568
c9^3,c,9,3,,569
x1,x,1,1,,570
x10,x,10,1,,571
x10^2,x,10,2,,572
x10^3,x,10,3,,573
x11,x,11,1,,574
x11^2,x,11,2,,575
x11^3,x,11,3,,576
x12,x,12,1,,577
x12^2,x,12,2,,578
x12^3,x,12,3,,579
x13,x,13,1,,580
x13^2,x,13,2,,581
x13^3,x,13,3,,582
x14,x,14,1,,583
x14^2,x,14,2,,584
x14^3,x,14,3,,585
x15,x,15,1,,586
x15^2,x,15,2,,587
x15^3,x,15,3,,588
x16,x,16,1,,589
x16^2,x,16,2,,590
x16^3,x,16,3,,591
x17,x,17,1,,592
x17^2,x,17,2,,593
x17^3,x,17,3,,594
x18,x,18,1,,595
x18^2,x,18,2,,596
x18^3,x,18,3,,597
x19,x,19,1,,598
x19^2,x,19,2,,599
x19^3,x,19,3,,600
x1^2,x,1,2,,601
x2,x,2,1,,602
x20,x,20,1,,603
x20^2,x,20,2,,604
x20^3,x,20,3,,605
x21,x,21,1,,606
x21^2,x,21,2,,607
x21^3,x,21,3,,608
x22,x,22,1,,609
x22^2,x,22,2,,610
x22^3,x,22,3,,611
x23,x,23,1,,612
x23^2,x,23,2,,613
x23^3,x,23,3,,614
x24^2,x,24,2,,615
x24^3,x,24,3,,616
x25^2,x,25,2,,617
x25^3,x,25,3,,618
x26^2,x,26,2,,619
x26^3,x,26,3,,620
x27^2,x,27,2,,621
x27^3,x,27,3,,622
x28^2,x,28,2,,623
x28^3,x,28,3,,624
x29^2,x,29,2,,625
x29^3,x,29,3,,626
x2^2,x,2,2,,627
x3,x,3,1,,628
x3^2,x,3,2,,629
x3^3,x,3,3,,630
x4,x,4,1,,631
x4^2,x,4,2,,632
x4^3,x,4,3,,633
x5,x,5,1,,634
x5^2,x,5,2,,635
x5^3,x,5,3,,636
x6,x,6,1,,637
x6^2,x,6,2,,638
x6^3,x,6,3,,639
x7,x,7,1,,640
x7^2,x,7,2,,641
x7^3,x,7,3,,642
x8,x,8,1,,643
x8^2,x,8,2,,644
x8^3,x,8,3,,645
x9,x,9,1,,646
x9^2,x,9,2,,647
x9^3,x,9,3,,648
y1,y,1,1,,649
y10,y,10,1,,650
y10^2,y,10,2,,651
y10^3,y,10,3,,652
y11,y,11,1,,653
y11^2,y,11,2,,654
y11^3,y,11,3,,655
y12,y,12,1,,656
y12^2,y,12,2,,657
y12^3,y,12,3,,658
y13,y,13,1,,659
y13^2,y,13,2,,660
y13^3,y,13,3,,661
y14,y,14,1,,662
y14^2,y,14,2,,663
y14^3,y,14,3,,664
y15,y,15,1,,665
y15^2,y,15,2,,666
y15^3,y,15,3,,667
y16,y,16,1,,668
y16^2,y,16,2,,669
y16^3,y,16,3,,670
y17,y,17,1,,671
y17^2,y,17,2,,672
y17^3,y,17,3,,673
y18,y,18,1,,674
y18^2,y,18,2,,675
y18^3,y,18,3,,676
y19,y,19,1,,677
y19^2,y,19,2,,678
y19^3,y,19,3,,679
y2,y,2,1,,680
y20,y,20,1,,681
y20^2,y,20,2,,682
y20^3,y,20,3,,683
y21,y,21,1,,684
y21^2,y,21,2,,685
y21^3,y,21,3,,686
y22,y,22,1,,687
y22^2,y,22,2,,688
y22^3,y,22,3,,689
y23,y,23,1,,690
y23^2,y,23,2,,691
y23^3,y,23,3,,692
y24,y,24,1,,693
y24^2,y,24,2,,694
y24^3,y,24,3,,695
y25,y,25,1,,696
y25^2,y,25,2,,697
y25^3,y,25,3,,698
y26,y,26,1,,699
y26^2,y,26,2,,700
y26^3,y,26,3,,701
y27,y,27,1,,702
y27^2,y,27,2,,703
y27^3,y,27,3,,704
y28^2,y,28,2,,705
y28^3,y,28,3,,706
y29^2,y,29,2,,707
y29^3,y,29,3,,708
y2^2,y,2,2,,709
y3,y,3,1,,710
y3^2,y,3,2,,711
y3^3,y,3,3,,712
y4,y,4,1,,713
y4^2,y,4,2,,714
y4^3,y,4,3,,715
y5,y,5,1,,716
y5^2,y,5,2,,717
y5^3,y,5,3,,718
y6,y,6,1,,719
y6^2,y,6,2,,720
y6^3,y,6,3,,721
y7,y,7,1,,722
y7^2,y,7,2,,723
y7^3,y,7,3,,724
y8,y,8,1,,725
y8^2,y,8,2,,726
y8^3,y,8,3,,727
y9,y,9,1,,728
y9^2,y,9,2,,729
y9^3,y,9,3,,730
z1,z,1,1,,731
z10,z,10,1,,732
z10^2,z,10,2,,733
z10^3,z,10,3,,734
z11,z,11,1,,735
z11^2,z,11,2,,736
z11^3,z,11,3,,737
z12,z,12,1,,738
z12^2,z,12,2,,739
z12^3,z,12,3,,740
z13,z,13,1,,741
z13^2,z,13,2,,742
z13^3,z,13,3,,743
z14,z,14,1,,744
z14^2,z,14,2,,745
z14^3,z,14,3,,746
z15,z,15,1,,747
z15^2,z,15,2,,748
z15^3,z,15,3,,749
z16,z,16,1,,750
z16^2,z,16,2,,751
z16^3,z,16,3,,752
z17,z,17,1,,753
z17^2,z,17,2,,754
z17^3,z,17,3,,755
z18,z,18,1,,756
z18^2,z,18,2,,757
z18^3,z,18,3,,758
z19,z,19,1,,759
z19^2,z,19,2,,760
z19^3,z,19,3,,761
z2,z,2,1,,762
z20,z,20,1,,763
z20^2,z,20,2,,764
z20^3,z,20,3,,765
z21,z,21,1,,766
z21^2,z,21,2,,767
z21^3,z,21,3,,768
z22,z,22,1,,769
z22^2,z,22,2,,770
z22^3,z,22,3,,771
z23,z,23,1,,772
z23^2,z,23,2,,773
z23^3,z,23,3,,774
z24,z,24,1,,775
z24^2,z,24,2,,776
z24^3,z,24,3,,777
z25,z,25,1,,778
z25^2,z,25,2,,779
z25^3,z,25,3,,780
z26,z,26,1,,781
z26^2,z,26,2,,782
z26^3,z,26,3,,783
z27,z,27,1,,784
z27^2,z,27,2,,785
z27^3,z,27,3,,786
z28^2,z,28,2,,787
z28^3,z,28,3,,788
z29^2,z,29,2,,789
z29^3,z,29,3,,790
z2^2,z,2,2,,791
z3,z,3,1,,792
z3^2,z,3,2,,793
z3^3,z,3,3,,794
z4,z,4,1,,795
z4^2,z,4,2,,796
z4^3,z,4,3,,797
z5,z,5,1,,798
z5^2,z,5,2,,799
z5^3,z,5,3,,800
z6,z,6,1,,801
z6^2,z,6,2,,802
z6^3,z,6,3,,803
z7,z,7,1,,804
z7^2,z,7,2,,805
z7^3,z,7,3,,806
z8,z,8,1,,807
z8^2,z,8,2,,808
z8^3,z,8,3,,809
z9,z,9,1,,810
z9^2,z,9,2,,811
z9^3,z,9,3,,812
